계정코드,계정명칭,차대변구분
1112207,선급비용(차량보험),차/대변 모두 가능
1112208,선급비용(기타),차/대변 모두 가능
1112209,선급비용(기타보험),차/대변 모두 가능
1112210,선급비용(공유),차/대변 모두 가능
1112211,선급비용(회원),차/대변 모두 가능
1112212,선급비용(약정),차/대변 모두 가능
1112250,예치금,차/대변 모두 가능
1112300,선급공사비,차/대변 모두 가능
1112400,대손충당금(선급공사),차/대변 모두 가능
1112500,선급분양원가,차/대변 모두 가능
1112600,대손충당금(선급분양),차/대변 모두 가능
1112700,선급법인세,차/대변 모두 가능
1112701,선급주민세,차/대변 모두 가능
1112800,부가세대급금,차/대변 모두 가능
1112900,선급용역원가,차/대변 모두 가능
1113000,전도금,차/대변 모두 가능
1113001,전도금(본사),차/대변 모두 가능
1113002,전도금(현장),차/대변 모두 가능
1113003,전도금(지점),차/대변 모두 가능
1113004,전도금(사업장),차/대변 모두 가능
1113005,전도금(시재),차/대변 모두 가능
1113100,유동성장기대여금,차/대변 모두 가능
1113200,이연법인세자산(유동),차/대변 모두 가능
1113300,본지점,차/대변 모두 가능
1113400,금융리스채권(유동),차/대변 모두 가능
1113500,당기법인세자산,차/대변 모두 가능
1113600,출하선도금,차/대변 모두 가능
1113601,대손충당금(출하선도금),차/대변 모두 가능
1113620,출하선도금(온라인도매시장),차/대변 모두 가능
1113621,대손충당금(출하선도금온라인도,차/대변 모두 가능
1113700,가지급금,차/대변 모두 가능
1113701,가지급금(물류효율화),차/대변 모두 가능
1113702,가지급금(운임),차/대변 모두 가능
1113703,가지급금(기타),차/대변 모두 가능
1113710,가지급금(온라인도매시장),차/대변 모두 가능
1113800,파생상품자산(유동),차/대변 모두 가능
1113900,보증금(유동),차/대변 모두 가능
1113901,보증금(기타-유동),차/대변 모두 가능
1113902,보증금(숙소-유동),차/대변 모두 가능
1113910,대손충당(보증금-유동),차/대변 모두 가능
1120100,완성공사(시),차/대변 모두 가능
1120101,완성공사,차/대변 모두 가능
1120102,완성공사(타),차/대변 모두 가능
1120200,완성주택상가(시),차/대변 모두 가능
1120201,완성주택상가,차/대변 모두 가능
1120202,완성주택상가(타),차/대변 모두 가능
1120250,재고자산평가충당금,차/대변 모두 가능
